OTU_ID	E2	F2	G2	B1	D1	E1	G1	A2	C2	D2	E4	F4	G4	A3	C3	E3	G3	A4	C4	D4	E6	F7	B6	C6	D6	H4	B5	C5	D5	F5	H5	A6	A8	C8	F6	H6	B7	C7	E7	G7	Silva_tax	evalue_S	Greengenes_tax	evalue_G
OTU_1822	65	58	120	39	47	21	0	1	36	57	86	54	39	37	60	31	140	68	79	568	9	10	9	1	5	39	60	221	189	101	77	51	21	11	18	49	36	12	19	23	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Comamonas"	8.00E-121	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__"	2.00E-121
OTU_13	11	16	78	57	68	67	11	3	13	13	122	38	79	12	120	217	68	179	96	166	27	10	83	64	39	3	9	25	73	156	161	46	20	11	7	21	50	20	55	14	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __hgcI_clade"	1.00E-132	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"	3.00E-133
OTU_18	29	31	61	321	40	20	1	2	26	3	4	0	7	27	9	101	6	66	7	4	1	11	8	9	12	6	12	755	12	4	0	5	1	0	86	10	495	0	10	32	"Bacteria; __Bacteroidetes; __Flavobacteria; __Flavobacteriales; __Flavobacteriaceae; __Flavobacterium"	2.00E-130	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"	2.00E-128
OTU_19	0	0	22	22	81	4	0	1	55	11	25	6	38	9	10	0	52	37	87	38	6	21	2	2	1	112	552	8	26	294	83	23	1	0	17	22	23	28	287	143	"Bacteria; __Cyanobacteria; __Chloroplast; __Chloroplast; __Chloroplast; __Chloroplast"	1.00E-113	"k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Stramenopiles; f__; g__; s__"	8.00E-112
OTU_16	2	1	1	44	3	2	0	0	11	3	3	1	6	410	0	2	13	5	1	11	0	2	0	1	4	1239	4	161	5	21	3	6	3	0	103	2	46	21	0	3	"Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Pseudomonadaceae; __Pseudomonas"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__"	3.00E-133
OTU_697	168	424	503	158	13	52	5	3	335	70	0	2	54	2	0	11	19	182	0	4	0	0	12	1	1	1	2	0	2	8	0	0	0	0	3	0	0	0	1	0	"Bacteria; __Bacteroidetes; __Flavobacteria; __Flavobacteriales; __Flavobacteriaceae; __Flavobacterium"	6.00E-125	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"	2.00E-125
OTU_21	138	212	248	146	145	62	165	55	152	267	3	3	13	1	107	49	1	9	1	0	9	6	13	1	2	0	3	0	4	3	0	5	17	17	3	0	0	1	14	9	"Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Sphingomonadaceae; __Novosphingobium"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__; g__; s__"	3.00E-133
OTU_20	20	13	96	174	125	64	12	11	46	43	26	31	47	28	97	30	79	37	24	8	1	5	3	0	1	0	302	65	85	130	20	5	13	6	0	0	28	5	39	9	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Methylophilales; __Methylophilaceae; __PRD01a011B"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__; s__"	3.00E-133
OTU_28	11	7	5	2	9	1	0	2	2	9	1	6	6	439	2	33	9	5	4	4	6	2	16	19	17	19	19	2	33	8	8	7	4	2	5	797	2	3	4	6	"Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Aquabacterium"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__"	3.00E-133
OTU_1815	10	11	61	33	33	44	35	8	66	50	6	32	38	16	43	46	31	77	15	23	1	14	16	9	6	12	144	132	31	66	71	13	10	8	4	11	27	8	29	12	"Bacteria; __Actinobacteria; __Actinobacteria; __Frankiales; __Sporichthyaceae; __hgcI_clade"	3.00E-114	"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__ACK-M1; g__; s__"	2.00E-112
OTU_49	189	118	15	6	8	16	2	1	166	289	23	80	149	1	10	38	20	88	2	1	0	0	1	1	4	0	0	0	0	4	3	0	14	26	0	0	0	1	2	0	"Bacteria; __Bacteroidetes; __Flavobacteria; __Flavobacteriales; __Cryomorphaceae; __Fluviicola"	1.00E-132	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__"	3.00E-133
OTU_25	19	5	31	20	1	3	0	0	19	7	107	98	70	322	7	11	89	89	14	0	0	3	1	1	6	1	6	39	134	52	2	2	0	0	4	0	19	45	18	3	"Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Chitinophagaceae; __Ferruginibacter"	1.00E-132	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"	3.00E-133
OTU_27	2	5	0	18	2	15	0	2	5	38	2	5	2	108	1	1	111	1	174	54	0	11	3	5	0	209	6	97	4	13	53	68	0	0	24	6	60	46	10	14	"Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Pseudomonadaceae; __Pseudomonas"	1.00E-132	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__"	3.00E-133
OTU_30	3	8	10	10	19	24	2	4	28	0	11	35	65	46	15	21	5	359	0	8	1	0	15	24	25	4	11	6	5	136	72	76	6	4	88	3	2	1	2	2	"Bacteria; __Bacteroidetes; __Flavobacteria; __Flavobacteriales; __Flavobacteriaceae; __Flavobacterium"	1.00E-132	"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__"	3.00E-133
OTU_35	27	8	14	0	3	7	0	0	25	12	13	29	28	1	1	35	364	42	0	7	7	2	0	0	2	6	0	6	377	75	7	0	18	4	0	0	0	0	1	6	"Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Chitinophagaceae; __Ferruginibacter"	2.00E-130	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__"	7.00E-131
OTU_22	26	41	26	1	4	4	0	0	19	4	4	17	46	5	21	5	22	3	2	22	0	2	1	12	46	5	10	5	16	589	19	4	68	35	0	0	3	1	4	4	"Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __NS11-12_marine_group; __g"	6.00E-128	"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__"	7.00E-131
