samples_available	date	env	fecha	month	h	sampling	sample_v	Anos_total	Ostr_total	anos_L	ostr_L	salinity	salinity_q	cond	temp	temp_q	pH	redox	od	chla	doy	doy_acc	doy_acc_mod	season	season_det	sampling_trip	coord
MON_18	both	4/12/12	6_Rollico	4/12/12	dic-12	10	2	3	0	0	0	0	2	3_brackish	20.4	10	cold	8.1	318	10.3	6.7	339	339	339	autumn	late-autumn	2	41.390249 N -0.295673 W
MON_19	both	4/12/12	7_Rebollon	4/12/12	dic-12	5	2	5	0	0	0	0	1.8	3_brackish	15.7	9.1	cold	8.1	280	10.9	1.3	339	339	339	autumn	late-autumn	2	41.377488 N -0.304309 W
MON_2	both	12/11/12	2_Pinol	12/11/12	nov-12	13	1	5	191	1	38	0	1.2	2_slightly-brackish	16	13.5	mild	8.6	315	11.3	5.4	317	317	317	autumn	autumn	1	41.410267 N -0.256041 W
MON_20	both	4/12/12	5_Pez	4/12/12	dic-12	4	2	12	2	0	0	0	2.1	3_brackish	21.7	8.1	cold	8	287	11.1	4.2	339	339	339	autumn	late-autumn	2	41.378293 N -0.261327 W
MON_21	both	5/12/12	z12_Amarga_baja	5/12/12	dic-12	2	2	5	5	0	1	0	1.2	2_slightly-brackish	7.8	5.9	freezing-cold	7.9	242	11.9	0.7	340	340	339	autumn	late-autumn	2	41.404935 N -0.028002 W
MON_22	both	5/12/12	z11_Amarga_alta	5/12/12	dic-12	5	2	5	6	0	1	0	1.2	2_slightly-brackish	8.1	7.8	cold	7.9	290	11.3	0.6	340	340	339	autumn	late-autumn	2	41.396091 N -0.057746 W
MON_23	both	5/12/12	8_Pito	5/12/12	dic-12	4	2	3	0	0	0	0	2.3	3_brackish	25	9.2	cold	8	302	10.7	2.3	340	340	339	autumn	late-autumn	2	41.412818 N -0.153057 W
MON_24	both	5/12/12	z10_Playa	5/12/12	dic-12	15	2	5	0	0	0	0	3	4_marine	31	8.5	cold	8.2	303	11.5	0.4	340	340	339	autumn	late-autumn	2	41.419234 N -0.188864 W
MON_25	both	5/12/12	9_Salineta	5/12/12	dic-12	25	2	5	0	0	0	0	7.8	5_hypersaline	77.1	8.2	cold	9	286	12.1	237.4	340	340	339	autumn	late-autumn	2	41.484360 N -0.160008 W
MON_26	both	5/12/12	z13_Salobral	5/12/12	dic-12	30	2	5	0	0	0	0	3.2	4_marine	31.3	8	cold	8.8	275	13.5	1.7	340	340	339	autumn	late-autumn	2	41.500283 N -0.141735 W
MON_27	both	9/1/13	1_Guallar	9/1/13	ene-13	8	3	5	30	0	6	0	6	5_hypersaline	65.3	4.5	freezing-cold	8.4	225	12.8	0.9	9	375	375	winter	winter	3	41.411798 N -0.227378 W
MON_28	both	9/1/13	2_Pinol	9/1/13	ene-13	10	3	5	0	0	0	0	4	4_marine	32.5	5.5	freezing-cold	8.7	206	13.3	1.4	9	375	375	winter	winter	3	41.410267 N -0.256041 W
MON_29	both	9/1/13	3_Muerte	9/1/13	ene-13	5	3	5	4	0	1	0	5.8	5_hypersaline	65.6	7.8	cold	8.2	260	12.3	0.9	9	375	375	winter	winter	3	41.400761 N -0.261687 W
MON_30	both	9/1/13	4_Camaron	9/1/13	ene-13	40	3	4	2	0	1	0	2.5	3_brackish	27	7	cold	8.3	250	12.6	6	9	375	375	winter	winter	3	41.403479 N -0.284693 W
MON_31	both	9/1/13	6_Rollico	9/1/13	ene-13	5	3	6	18	29	3	5	3.3	4_marine	37.8	9.5	cold	8.4	238	12.2	0.7	9	375	375	winter	winter	3	41.390249 N -0.295673 W
MON_32	only_16S	9/1/13	7_Rebollon	9/1/13	ene-13	3	3	5	220	11	44	2	2.4	3_brackish	27.2	9.5	cold	8.8	245	14.6	1	9	375	375	winter	winter	3	41.377488 N -0.304309 W
MON_33	both	9/1/13	5_Pez	9/1/13	ene-13	3	3	5	143	196	29	39	3.3	4_marine	38	8.3	cold	8.2	280	12.7	3.6	9	375	375	winter	winter	3	41.378293 N -0.261327 W
MON_34	both	10/1/13	z12_Amarga_baja	10/1/13	ene-13	3	3	5	79	5	16	1	1.8	3_brackish	15.6	9.5	cold	8	256	11.6	0.8	10	376	375	winter	winter	3	41.404935 N -0.028002 W
MON_35	both	10/1/13	z11_Amarga_alta	10/1/13	ene-13	5	3	5	23	40	5	8	1.7	3_brackish	15.6	10	cold	8	285	11.1	3	10	376	375	winter	winter	3	41.396091 N -0.057746 W
MON_36	both	10/1/13	8_Pito	10/1/13	ene-13	10	3	5	0	28	0	6	3	4_marine	36.5	12	cold	8	295	10.5	4.2	10	376	375	winter	winter	3	41.412818 N -0.153057 W
MON_37	both	10/1/13	z10_Playa	10/1/13	ene-13	30	3	5	1	0	0	0	4.5	4_marine	49.7	11.3	cold	8.4	270	11.6	0.5	10	376	375	winter	winter	3	41.419234 N -0.188864 W
MON_38	both	10/1/13	9_Salineta	10/1/13	ene-13	50	3	5	0	0	0	0	10	5_hypersaline	94.3	12	cold	8.7	275	11.8	71.3	10	376	375	winter	winter	3	41.484360 N -0.160008 W
MON_39	both	10/1/13	z13_Salobral	10/1/13	ene-13	40	3	5	0	0	0	0	3.2	4_marine	32	11	cold	8.9	280	13.8	2.9	10	376	375	winter	winter	3	41.500283 N -0.141735 W
MON_4	both	12/11/12	7_Rebollon	12/11/12	nov-12	5	1	5	587	0	117	0	1	2_slightly-brackish	7.8	14.3	mild	8.2	340	10.4	1.3	317	317	317	autumn	autumn	1	41.377488 N -0.304309 W
MON_40	both	22/2/13	1_Guallar	22/2/13	feb-13	10	4	5	0	1	0	0	10.5	5_hypersaline	118.9	9.4	cold	8.2	244	10.6	1.6	53	419	419	winter	winter	4	41.411798 N -0.227378 W
MON_41	both	22/2/13	z10_Playa	22/2/13	feb-13	40	4	5	0	0	0	0	5.9	5_hypersaline	67	11	cold	8.5	230.8	11.3	3.3	53	419	419	winter	winter	4	41.419234 N -0.188864 W
MON_42	both	22/2/13	9_Salineta	22/2/13	feb-13	30	4	5	0	0	0	0	15	5_hypersaline	128.8	9.4	cold	8.4	246.6	10.4	35.8	53	419	419	winter	winter	4	41.484360 N -0.160008 W
