MON_100	MON_101	MON_104	MON_106	MON_107	MON_108	MON_109	MON_10	MON_110	MON_111	MON_112	MON_113	MON_114	MON_116	MON_117	MON_118	MON_119	MON_11	MON_120	MON_122	MON_123	MON_124	MON_125	MON_126	MON_127	MON_128	MON_129	MON_12	MON_130	MON_131	MON_133	MON_134	MON_136	MON_137	MON_138	MON_139	MON_13	MON_140	MON_141	MON_142	MON_144	MON_145	MON_146	MON_147	MON_148	MON_14	MON_15	MON_17	MON_18	MON_19	MON_20	MON_21	MON_22	MON_23	MON_24	MON_25	MON_26	MON_27	MON_28	MON_29	MON_2	MON_30	MON_31	MON_32	MON_33	MON_34	MON_35	MON_36	MON_37	MON_38	MON_39	MON_40	MON_41	MON_42	MON_43	MON_44	MON_45	MON_46	MON_47	MON_48	MON_4	MON_50	MON_51	MON_52	MON_53	MON_54	MON_55	MON_56	MON_57	MON_58	MON_59	MON_5	MON_60	MON_61	MON_62	MON_63	MON_64	MON_65	MON_66	MON_67	MON_68	MON_69	MON_70	MON_71	MON_72	MON_73	MON_74	MON_75	MON_76	MON_77	MON_78	MON_79	MON_7	MON_80	MON_81	MON_83	MON_84	MON_85	MON_88	MON_8	MON_90	MON_91	MON_92	MON_93	MON_94	MON_95	MON_96	MON_97	MON_98	MON_99	MON_9
ZOTU_24	19	1	13	209	353	471	10	3225	20	12	57	11	75	42	25	70	147	61	55	21	35	4	17	17	4	0	72	1012	9	8	2	1	508	1327	1741	41	1	2593	232	1889	2	34	71	57	14	286	32	51	2252	324	2531	31	87	1064	642	28	26	309	144	87	260	20	885	107	683	14	29	1025	398	32	186	907	93	56	1824	553	345	93	308	148	187	106	840	47	340	34	9	921	4	16	785	1276	84	17	23	41	591	17	26	8	0	52	8	12	77	112	6	37	0	0	326	9	440	18	0	0	0	0	1	16	35	54	73	443	25	23	49	4	3	30	566
ZOTU_25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	87	0	5	0	6	4	3	23	1	40	0	19	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	4	0	2	28	0	1	0	2	1	15	592	0	1	50	19	0	0	1108	8	1	0	1	0	1	3	6	6	142	4	0	0	0	8481	10288	50	199	0	1308	2058	1306	94	2631	2	2	1	0	0	1	4	9	15	4524	3	1	1	0	1	0	1	82	39	114	0	0	2	6	3	0	0	2	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
ZOTU_28	0	0	0	0	0	0	0	0	2	0	0	5	1	0	0	0	1	0	0	0	0	0	0	8	0	0	8323	0	325	1207	9	0	2	0	0	48	1	1	0	0	2	6	26	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	6	2	0	1	0	6	0	0	0	1	14	0	0	0	0	0	0	1	0	1	0	0	0	1	529	1044	5860	1	6788	1	315	1	0	42	61	60	3	36	163	8	1	1	7215	586	0	10	0	169	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0
ZOTU_29	2	0	0	0	1	2	0	1	198	0	0	0	1	1	0	0	0	0	49	32	6453	9740	108	0	22	1	0	0	0	5	0	0	0	0	0	0	0	3	0	0	2	0	0	1	8037	0	0	2	0	0	0	0	2037	9	2	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2399
ZOTU_30	115	8	0	0	0	0	0	0	0	0	0	2	126	1	0	0	2	0	0	0	1	12	2	512	1	12	15	0	99	21	5	0	0	0	1	0	1126	0	0	0	330	786	2	0	0	0	1	0	0	0	0	0	0	2	61	10773	1	0	2	29	0	0	1	0	1	0	1	1	138	6976	3	3	144	342	0	1	5	3	6	0	0	8	1	0	1	0	0	1	4	395	0	0	170	4	6	6	0	2	682	3	1	11	1525	3024	5	5	3	19	1	1	11	5148	3	15	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZOTU_31	141	14	71	1552	1645	593	110	93	429	31	1848	35	154	53	40	40	97	1349	54	16	71	22	4	12	11	2	12	1971	9	9	3	3	10	5	17	2	0	85	308	871	2	10	5	19	3	9	38	36	53	72	72	12	3	41	170	6	1	38	9	21	252	16	38	786	24	57	6	49	173	19	27	21	9	6	2	3	71	20	23	6	75	4	15	51	33	86	23	4	2	0	5	64	1	3	2	8	1	0	5	2	2	0	0	0	2	27	25	7	6	0	16	1	2	1	0	0	0	1	0	1	800	1048	6463	1833	3216	1088	1801	646	288	1088	21
ZOTU_32	2	0	101	631	2202	355	57	113	84	2	2257	1	0	1	118	15	126	876	332	84	109	24	3920	0	29	3	10	127	0	2	0	0	3	2	10	7	0	4281	18	912	0	0	14	48	4	18	24	18	397	127	873	21	52	148	117	0	0	7	639	0	5355	133	177	80	310	226	81	93	9	0	0	0	1	0	0	7	63	155	2	47	1021	15	41	38	187	240	227	26	0	0	0	771	1	8	2	83	9	0	11	0	0	4	0	7	36	63	1	2	1	0	0	0	3	3	0	0	0	0	0	158	4	66	103	92	264	11	299	15	3	601	342
ZOTU_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	16	0	6	878	3	67	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2442	44	8	4361	25	12	6	30	1	0	6	1	3	88	14	5	2146	3	997	4957	4671	2	1	14	0	0	2	129	3	0	0	7	3	4	6866	1	0	0	644	6	9	0	3	1	1	0	0	3	0	0	0	0	168	0	0	0	11	165	6	0	0	0	0	0	1	80	0	2	0	0	0	7	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU_35	12	1	13	189	37	2	12	476	7	1	1032	3	0	121	584	13	250	1975	403	1432	2	0	1666	6	4	0	68	225	1	2	1	0	70	41	40	34	0	93	2	749	0	1	56	0	0	1759	80	20	47	10	381	0	1	288	470	3	0	2753	676	3	1971	60	667	39	2311	2	0	2213	217	1	0	80	2	3	0	385	347	139	75	68	11	35	139	6	271	2	0	600	0	0	0	36	272	78	31	17	91	64	9	2	1	86	0	20	67	291	9	20	4	4	266	0	0	8	1	0	4	3	0	0	34	29	20	76	15	1	34	0	6	74	0
ZOTU_36	171	7	101	33	41	8	5	6	4	5	18	1709	529	84	7	427	7	14	12	11	0	2	7	66	636	2	16	1425	3	8	0	0	4782	80	12619	6	0	58	1	11	2	2	3	0	0	19	1	3	3	3	0	2	0	3	8	7	0	17	1	0	4	0	10	1	5	1	0	1	0	26	0	114	2786	1277	21	1	8	0	17	398	3	3	8	0	2	0	0	2	1	12	0	1	65	4	15	0	90	1	1	0	0	8	0	0	15	1	0	1	0	0	8	0	0	2	0	0	0	0	0	0	14	32	14	7	13	4	14	0	1	14	0
ZOTU_38	491	36	1	0	21	7	1	0	3	0	2	64	1887	34	8	3133	0	6	0	0	8	27	4	1494	33	73	1	0	64	11	11	1	3	3	7	0	1	0	6	2	23	4731	318	2	6	2	0	0	0	0	2	0	0	0	4	1	6	0	1	8	0	0	1	0	3	0	0	0	6	2	11	7	33	2	49	0	1	1	0	28	0	0	47	0	1	1	0	0	11273	12	1	1	4	45	408	2	22	2	22	0	30	7	9	4	4	282	1398	20	652	0	0	36	18	1	62	0	0	39	0	0	3	0	1	0	0	0	0	0	2	0	0
