taxonomy	Domain	Phylum	Class	Order	Family	Genus
ZOTU_3488	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_3491	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
ZOTU_3492	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Perlucidibaca	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Perlucidibaca
ZOTU_3493	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocales-unclass	Nostocales-unclass
ZOTU_3494	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ZOTU_3495	Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;Silvanigrella	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Silvanigrella
ZOTU_3496	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae;Terasakiella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Terasakiella
ZOTU_3497	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
ZOTU_3498	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Hydrogenophaga	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Hydrogenophaga
ZOTU_3499	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Undibacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Undibacterium
ZOTU_3500	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_3501	Bacteria;Proteobacteria;Gammaproteobacteria;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	uncultured	uncultured-unclass	uncultured-unclass
ZOTU_3503	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae-unclass
ZOTU_3504	Bacteria;Proteobacteria;Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria-unclass	Gammaproteobacteria-unclass	Gammaproteobacteria-unclass
ZOTU_3505	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sandarakinorhabdus
ZOTU_3506	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium
ZOTU_3508	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12-unclass
ZOTU_3509	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae-unclass
ZOTU_3510	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseovarius	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius
ZOTU_3511	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Devosia	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
ZOTU_3512	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3513	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales-unclass	Verrucomicrobiales-unclass
ZOTU_3514	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Aquabacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Aquabacterium
ZOTU_3515	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Verruc-01	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Verruc-01
ZOTU_3516	Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;Francisella	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella
ZOTU_3517	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Candidatus Megaira	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus Megaira
ZOTU_3518	Bacteria;Firmicutes;Clostridia;Clostridiales;Family XII;Fusibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XII	Fusibacter
ZOTU_3519	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3520	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;uncultured	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured
ZOTU_3522	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter
ZOTU_3523	Bacteria;Bacteroidetes;Bacteroidia	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia-unclass	Bacteroidia-unclass	Bacteroidia-unclass
ZOTU_3524	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Spirosomaceae-unclass
ZOTU_3526	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3527	Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1)	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	Absconditabacteriales (SR1)-unclass	Absconditabacteriales (SR1)-unclass
ZOTU_3528	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomicaceae-unclass
ZOTU_3529	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaeraceae-unclass
ZOTU_3530	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3531	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsiaceae-unclass
ZOTU_3532	Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Unknown Family-unclass
ZOTU_3533	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
ZOTU_3534	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_3535	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus
ZOTU_3536	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;FukuN57	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	FukuN57
ZOTU_3537	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3538	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales-unclass	Rhodospirillales-unclass
ZOTU_3539	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ZOTU_3540	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseovarius	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius
ZOTU_3541	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium
ZOTU_3543	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;MWH-UniP1 aquatic group	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	MWH-UniP1 aquatic group
ZOTU_3544	Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae;Azospirillum	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum
ZOTU_3545	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3546	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola
ZOTU_3547	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;Owenweeksia	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	Owenweeksia
ZOTU_3548	Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	uncultured
ZOTU_3549	Bacteria;Proteobacteria;Gammaproteobacteria;Nitrococcales;Nitrococcaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrococcales	Nitrococcaceae	Nitrococcaceae-unclass
ZOTU_3550	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus
ZOTU_3551	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
ZOTU_3552	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Orenia	Bacteria	Halanaerobiaeota	Halanaerobiia	Halanaerobiales	Halobacteroidaceae	Orenia
ZOTU_3553	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospirillaceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillaceae-unclass
ZOTU_3554	Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	KI89A clade-unclass	KI89A clade-unclass
ZOTU_3555	Bacteria;Verrucomicrobia;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae-unclass
ZOTU_3556	Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae;Methylomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonaceae	Methylomonas
ZOTU_3557	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriales-unclass	Sphingobacteriales-unclass
ZOTU_3558	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsiaceae-unclass
ZOTU_3559	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Salinimicrobium	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium
ZOTU_3560	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus
ZOTU_3561	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_3563	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_3565	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3566	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3567	Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;Methylophaga	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga
ZOTU_3568	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_3569	Bacteria;Bacteroidetes;Bacteroidia	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia-unclass	Bacteroidia-unclass	Bacteroidia-unclass
ZOTU_3571	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_3572	Bacteria;Bacteroidetes;Rhodothermia;Rhodothermales;Rhodothermaceae;Salinibacter	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	Salinibacter
ZOTU_3573	Bacteria;Proteobacteria;Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria-unclass	Gammaproteobacteria-unclass	Gammaproteobacteria-unclass
ZOTU_3575	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;AB1	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1-unclass
ZOTU_3576	Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	uncultured	uncultured-unclass
ZOTU_3578	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_3579	Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;Francisella	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella
ZOTU_3580	Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;Francisella	Bacteria	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella
ZOTU_3581	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;uncultured	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	uncultured
ZOTU_3582	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Peredibacter	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
ZOTU_3583	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiales-unclass	Chlamydiales-unclass
ZOTU_3584	Bacteria;Bacteroidetes;Rhodothermia;Balneolales;Balneolaceae	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	Balneolaceae-unclass
ZOTU_3585	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovoracaceae-unclass
ZOTU_3586	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;uncultured	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured
ZOTU_3587	Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Aquicella	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella
ZOTU_3588	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
ZOTU_3589	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;uncultured	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultured-unclass
ZOTU_3590	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3591	Bacteria;Planctomycetes;vadinHA49	Bacteria	Planctomycetes	vadinHA49	vadinHA49-unclass	vadinHA49-unclass	vadinHA49-unclass
ZOTU_3592	Bacteria;Patescibacteria;Gracilibacteria;JGI 0000069-P22	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	JGI 0000069-P22-unclass	JGI 0000069-P22-unclass
ZOTU_3593	Bacteria;Patescibacteria;Parcubacteria;GWA2-38-13b	Bacteria	Patescibacteria	Parcubacteria	GWA2-38-13b	GWA2-38-13b-unclass	GWA2-38-13b-unclass
ZOTU_3594	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ZOTU_3595	Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured
ZOTU_3597	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Rhodocyclaceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	uncultured
ZOTU_3600	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cytophagales-unclass	Cytophagales-unclass
ZOTU_3601	Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;0319-6G20	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	0319-6G20-unclass
ZOTU_3602	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_3604	Bacteria;Patescibacteria;ABY1;Candidatus Uhrbacteria	Bacteria	Patescibacteria	ABY1	Candidatus Uhrbacteria	Candidatus Uhrbacteria-unclass	Candidatus Uhrbacteria-unclass
ZOTU_3605	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_3607	Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B)	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	SAR324 clade(Marine group B)-unclass	SAR324 clade(Marine group B)-unclass
ZOTU_3609	Bacteria;Bacteroidetes;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured
ZOTU_3610	Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;NS11-12 marine group	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NS11-12 marine group-unclass
ZOTU_3611	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
ZOTU_3612	Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria-unclass	Alphaproteobacteria-unclass	Alphaproteobacteria-unclass
ZOTU_3613	Bacteria;Patescibacteria;Parcubacteria	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria-unclass	Parcubacteria-unclass	Parcubacteria-unclass
ZOTU_3614	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfovermiculus
ZOTU_3615	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae-unclass
ZOTU_3616	Bacteria;Proteobacteria;Deltaproteobacteria;SAR324 clade(Marine group B)	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	SAR324 clade(Marine group B)-unclass	SAR324 clade(Marine group B)-unclass
ZOTU_3617	Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales;Oligoflexaceae;uncultured	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	uncultured
ZOTU_3618	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_3619	Bacteria;Patescibacteria;Parcubacteria;Candidatus Campbellbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Campbellbacteria	Candidatus Campbellbacteria-unclass	Candidatus Campbellbacteria-unclass
ZOTU_3620	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Sediminispirochaeta	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta
ZOTU_3621	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales-unclass	Rickettsiales-unclass
ZOTU_3622	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ZOTU_3623	Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadales-unclass	Kordiimonadales-unclass
ZOTU_3628	Bacteria;Tenericutes;Mollicutes;Haloplasmatales;Haloplasmataceae;Haloplasma	Bacteria	Tenericutes	Mollicutes	Haloplasmatales	Haloplasmataceae	Haloplasma
ZOTU_3629	Bacteria;Planctomycetes;vadinHA49	Bacteria	Planctomycetes	vadinHA49	vadinHA49-unclass	vadinHA49-unclass	vadinHA49-unclass
ZOTU_3630	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Puniceicoccaceae	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Puniceicoccaceae-unclass
ZOTU_3631	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
ZOTU_3632	Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales	Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales	Bradymonadales-unclass	Bradymonadales-unclass
ZOTU_3633	Bacteria;Verrucomicrobia;Verrucomicrobiae;Opitutales;Opitutaceae	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutaceae-unclass
ZOTU_3634	Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria	Candidatus Kaiserbacteria-unclass	Candidatus Kaiserbacteria-unclass
ZOTU_3635	Bacteria;Patescibacteria;Microgenomatia;Candidatus Pacebacteria	Bacteria	Patescibacteria	Microgenomatia	Candidatus Pacebacteria	Candidatus Pacebacteria-unclass	Candidatus Pacebacteria-unclass
ZOTU_3636	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiales-unclass	Chlamydiales-unclass
ZOTU_3637	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospiraceae;Magnetovibrio	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetovibrio
ZOTU_3638	Bacteria;Firmicutes;Clostridia	Bacteria	Firmicutes	Clostridia	Clostridia-unclass	Clostridia-unclass	Clostridia-unclass
ZOTU_3639	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Borrelia	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Borrelia
ZOTU_3640	Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Cryomorphaceae;Owenweeksia	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	Owenweeksia
